objectId,admin3_code,admin2_code,ACL,admin1_code,name,dem,latitude,population,updatedAt,alternatenames,longitude,feature_class,modification_date,cc2,country_code,feature_code,geonameid,timezone,createdAt,asciiname,elevation
SGI6GES7Ys,80606,806,null,9,Parchal,9,37.13827,4019,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Parchal,Parshal,Паршал",-8.51703,P,2018-02-12,,PT,PPL,2265180,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Parchal,
PYpRyGpt6z,111604,1116,null,14,Olival do Basto,22,38.79079,5959,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Olival do Basto,-9.16621,P,2018-07-04,,PT,PPL,2265422,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Olival do Basto,
mxe1vavg2F,142111,1421,null,18,Ourém,315,39.64167,12729,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Ourem,Ourém",-8.5919,P,2018-04-30,,PT,PPLA2,2265388,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Ourem,
t2jxxIyQ9D,111005,1110,null,14,Paço de Arcos,15,38.69569,25974,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Paco d'Arcos,Paço d'Arcos",-9.29143,P,2011-08-28,,PT,PPL,2265326,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Paco de Arcos,
DymbdTICUi,80103,801,null,9,Paderne,57,37.17935,3304,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Paderne,-8.2015,P,2017-11-07,,PT,PPL,2265315,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Paderne,
80aQzPy2dn,110109,1101,null,14,Ota,42,39.11199,1289,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Ota,Otta",-8.99105,P,2018-06-26,,PT,PPL,2265394,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Ota,
erMFmoxBJD,110633,1106,null,14,Olivais,33,38.76994,33788,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Olivaes,Olivais,Santa Maria dos Olivais,Santa-Marija-dush-Olivajsh,Santa-Marija-duz-Olivajsh,Санта-Мария-дуз-Оливайш,Санта-Мария-душ-Оливайш",-9.10674,P,2018-03-15,,PT,PPL,2265432,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Olivais,
k3gxdcvyuY,80105,801,null,9,Olhos de Água,20,37.09024,3221,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Olhos d'Agua,-8.19168,P,2019-10-21,,PT,PPL,2265434,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Olhos de Agua,
SnQeGJtt8n,50608,506,null,6,Oleiros,510,39.91893,5721,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Oleiros,-7.9137,P,2018-09-11,,PT,PPLA2,2265450,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Oleiros,
EVDzQvEFWr,111603,1116,null,14,Odivelas,50,38.79269,54624,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Odivelas,awdywlas,اودیولاس",-9.1838,P,2011-08-28,,PT,PPL,2265467,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Odivelas,
MuSX1kdm1j,81003,810,null,9,Olhão,11,37.0286,29239,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Olhao,Olhão",-7.8411,P,2020-02-05,,PT,PPLA2,2265447,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Olhao,
EtTYHHeMSr,21108,211,null,3,Odemira,52,37.59798,5830,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),,-8.63972,P,2018-04-30,,PT,PPL,2265472,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Odemira,
SW1eCSrYG0,111004,1110,null,14,Oeiras,36,38.69105,35000,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Oeiras,-9.31085,P,2018-03-09,,PT,PPLA2,2265464,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Oeiras,
UW6qvGaOTA,101205,1012,null,13,Óbidos,48,39.36055,11187,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Obidos,Obidush,Ompidos,ao bi du shen,obiduseu,xxbi duch,Óbidos,ʼwbydws,Όμπιδος,Обидуш,Обідуш,אובידוש,ออบีดุช,奧比杜什,오비두스",-9.1567,P,2018-02-10,,PT,PPLA2,2265485,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Obidos,
9X3bvNKx0l,310302,3103,null,10,Nossa Senhora do Monte,350,32.66667,7444,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Monte,Nossa Senhora do Monte,Монте",-16.9,P,2012-01-17,,PT,PPL,2265494,Atlantic/Madeira,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Nossa Senhora do Monte,
ZWTqBVcPS6,20506,205,null,3,Neves,164,38.0227,1747,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),,-7.81344,P,2018-02-12,,PT,PPL,2265537,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Neves,
